Features;OoO-N-10;OoO-N-20;OoO-N-30;OoO-N-40;OoO-N-50;OoO-N-60;OoO-N-70;OoO-N-80;OoO-N-90;OoO-N-100;OoO-N-200;OoO-N-300;OoO-S1-10;OoO-S1-20;OoO-S1-30;OoO-S1-40;OoO-S1-50;OoO-S1-60;OoO-S1-70;OoO-S1-80;OoO-S1-90;OoO-S1-100;OoO-S1-200;OoO-S2-10;OoO-S2-20;OoO-S2-30;OoO-S2-40;OoO-S2-50;OoO-S2-60;OoO-S2-70;OoO-S2-80;OoO-S2-90;OoO-S2-100;OoO-S2-200;OoO-S2-300;OoO-S3-10;OoO-S3-20;OoO-S3-30;OoO-S3-40;OoO-S3-50;OoO-S3-60;OoO-S3-70;OoO-S3-80;OoO-S3-90;OoO-S3-100;OoO-S3-200;OoO-S3-300
system.cpu.exec_context.thread_0.numVecPredRegWrites;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
system.cpu.exec_context.thread_0.numCCRegReads;405963456;598357151;790750985;983144744;1175538406;1367932224;1579453625;1771847428;1964241231;2156635004;4118828309;6061893675;343860411;536254918;728647240;921042011;1113435173;1305830355;1517350648;1709743559;1902137730;2094532035;4056724082;349456135;548064668;746672572;945280943;1143889573;1342494465;1560229842;1758830973;1957435800;2156045466;4180314876;6626373967;970443748;1162837443;1355231277;1547625036;1740018698;1932412516;2143933917;1355231277;2528721523;2721115296;4683308601;6626373967
system.cpu.exec_context.thread_0.numCCRegWrites;257891355;380122659;502354027;624585362;746816642;869047996;1003293097;1125524453;1247755809;1369987163;2616328271;3850655431;223080260;345312109;467542449;589774467;712005402;834237743;968482026;1090712820;1212944407;1335176151;2581516375;226215227;351928241;477640731;603353575;729066631;854777162;992503408;1118211383;1243921977;1369635722;2650744471;4167057837;574293761;696525065;818756433;940987768;1063219048;1185450402;1319695503;818756433;1564158215;1686389569;2932730677;4167057837
system.cpu.exec_context.thread_0.numMiscRegReads;2032394789;3756179265;5479963821;7203748337;8927532797;10651317343;12432834274;14156618812;15880403350;17604187870;34957498100;52253075739;1982591748;3706377143;5430160031;7153945680;8877729605;10601515460;12383031381;14106814789;15830599796;17554384810;34907693666;1987053401;3715791694;5444529456;7173267675;8902006189;10630740334;12417210082;14145940123;15874673893;17603413445;35006181140;52705712113;2485031163;4208815639;5932600195;7656384711;9380169171;11103953717;12885470648;5932600195;16333039724;18056824244;35410134474;52705712113
system.cpu.exec_context.thread_0.numMiscRegWrites;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18
system.cpu.exec_context.thread_0.numMemRefs;1775359700;3339887904;4904416136;6468944358;8033472558;9598000786;11211847560;12776375786;14340904012;15905432230;31649351618;47343952390;1750720816;3315249495;4879776867;6444305674;8008833599;9573362492;11187208756;12751736392;14316264863;15880793331;31624712011;1752926205;3319902962;4886879444;6453856167;8020833047;9587807650;11204102459;12771074950;14338049346;15905026746;31673389997;47567880256;1999287566;3563815770;5128344002;6692872224;8257400424;9821928652;11435775426;5128344002;14564831878;16129360096;31873279484;47567880256
system.cpu.exec_context.thread_0.numLoadInsts;1107055837;2100059993;3093064174;4086068344;5079072498;6072076677;7103694072;8096698247;9089702422;10082706588;20089974802;30058629742;1092451280;2085455717;3078459386;4071463903;5064467892;6057472482;7089089557;8082093392;9075097708;10068102030;20075369823;1093759182;2088215496;3082671636;4077127923;5071584303;6066039348;7099108596;8093562378;9088017321;10082474017;20104239119;30191363038;1239789133;2232793289;3225797470;4218801640;5211805794;6204809973;7236427368;3225797470;9222435718;10215439884;20222708098;30191363038
system.cpu.exec_context.thread_0.numStoreInsts;668303863;1239827911;1811351962;2382876014;2954400060;3525924109;4108153488;4679677539;5251201590;5822725642;11559376816;17285322648;658269536;1229793778;1801317481;2372841771;2944365707;3515890010;4098119199;4669643000;5241167155;5812691301;11549342188;659167023;1231687466;1804207808;2376728244;2949248744;3521768302;4104993863;4677512572;5250032025;5822552729;11569150878;17376517218;759498433;1331022481;1902546532;2474070584;3045594630;3617118679;4199348058;1902546532;5342396160;5913920212;11650571386;17376517218
system.cpu.exec_context.thread_0.numIdleCycles;0,002;0,002001;0,002;0,002001;0,002001;0,002;0,001998;0,001999;0,002001;0,002;0,002;0,002012;0,002;0,002;0,002001;0,001998;0,001998;0,001999;0,001998;0,002001;0,001997;0,001997;0,001998;0,002;0,002;0,001999;0,001999;0,002002;0,001997;0,002002;0,001998;0,002001;0,002;0,002002;0,001998;0,002;0,001999;0,002;0,002001;0,002002;0,001998;0,002003;0,002;0,001999;0,001999;0,002;0,001998
system.cpu.exec_context.thread_0.numBusyCycles;8386266858;15876714728;23367162799;30857610777;38348058603;45838506647;53549312589;61039760613;68530208637;76020656641;1,51366E+11;2,26491E+11;8246024832;15736475063;23226918806;30717369707;38207816128;45698267767;53409070873;60899516113;68389965290;75880414670;1,51226E+11;8258615899;15763045246;23267472980;30771901991;38276331825;45780750479;53505535364;61009943333;68514361331;76018793877;1,51504E+11;2,27765E+11;9660896094;17151343964;24641792035;32132240013;39622687839;47113135883;54823941825;24641792035;69804837873;77295285877;1,5264E+11;2,27765E+11
